"","knnmodel[[""roc""]][[""sensitivities""]]","knnmodel[[""roc""]][[""specificities""]]"
"1",1,0
"2",0.970209169659835,0.0856128936862339
"3",0.970209169659835,0.085662181477648
"4",0.968941474751743,0.0882744344225935
"5",0.898161842383266,0.247572576272857
"6",0.89752799492922,0.249346936763764
"7",0.799070357067399,0.431613189412982
"8",0.799070357067399,0.431761052787225
"9",0.797802662159307,0.433338262112475
"10",0.668920346503275,0.60259253782838
"11",0.668286499049229,0.604219034945044
"12",0.531586731459962,0.733303760658485
"13",0.531586731459962,0.733353048449899
"14",0.530952884005916,0.734585243235251
"15",0.416649059792943,0.829907831830056
"16",0.415381364884851,0.830351421952782
"17",0.3137544897528,0.896791364778944
"18",0.312486794844707,0.897136379318843
"19",0.229241495879992,0.938538124106659
"20",0.22903021339531,0.938685987480901
"21",0.164166490597929,0.963527034353591
"22",0.163955208113247,0.963773473310661
"23",0.111134586942742,0.979052688649022
"24",0.110500739488696,0.979052688649022
"25",0.0739488696387069,0.989058110306077
"26",0.0731037396999789,0.989156685888905
"27",0.0490175364462286,0.994085465030312
"28",0.0488062539615466,0.99418404061314
"29",0.031692372702303,0.997289171472226
"30",0.021762095922248,0.998373502883336
"31",0.0143672089583774,0.999605697668687
"32",0.00929642932600887,0.99975356104293
"33",0.00549334460173252,0.999901424417172
"34",0.00380308472427636,0.999950712208586
"35",0.00295795478554828,0.999950712208586
"36",0.0021128248468202,1
"37",0.00042256496936404,1
"38",0,1
